Survived,Pclass,Sex,Parch,,,first Q,,,,,,,,,second Q,,,,,Second Q,,,,,,,,,Third Q,,,,,,
0,3,male,0,,,count,survived,dead,,entropies,,,,pr,count,survived,dead,,,,,count,survived,dead,,,,,M+Class+parch,,count,survived,dead,,
1,1,female,0,,Pclass 1,216,136,80,,0.950956048,,,pclass1,0,163,99,99,,,M + Class,pclass1,122,45,77,,0.949786903,,,pclass1,0,99,36,63,,0.945660305
1,3,female,0,,Pclass 2,184,87,97,,0.997868316,,,,1,31,21,21,,,,pclass2,108,17,91,,0.628071016,,,,1,14,4,10,,0.863120569
1,1,female,0,,Pclass 3,491,119,372,,0.798947052,,,,2,21,16,16,,,,pclass3,347,47,300,,0.572188731,,,,2,8,5,3,,0.954434003
0,3,male,0,,avg,,,,,0.875893811,,,,3,0,0,0,,,,,577,,,,0.662487282,,,,3,0,0,0,,0
0,3,male,0,,Sex M,577,109,468,,0.699181789,,,,4,1,0,0,,,,,,,,,,,,,4,1,0,1,,#NUM!
0,1,male,0,,Sex F,314,233,81,,0.823655074,,,,5,0,0,0,,,F+class,pclass1,94,91,3,,0.203905876,,,,5,0,0,0,,0
0,3,male,1,,avg,,,,,0.742214782,,,,6,0,0,0,,,,pclass2,76,70,6,,0.398459274,,,,6,0,0,0,,0
1,3,female,2,,parch,,,,,,,,,,,,,,,,pclass3,144,72,72,,1,,,,,122,,,,
1,2,female,0,,0,678,233,445,,0.928276049,,,pclass2,0,134,48,86,,,,,314,,,,0.616082984,,,pclass2,0,89,8,81,,0.436094664
1,3,female,1,,1,118,65,53,,0.992527016,,,,1,32,24,8,,,,,,,,,,,,,1,14,7,7,,1
1,1,female,0,,2,80,40,40,,1,,,,2,16,13,3,,,,,,,,,,,,,2,5,2,3,,0.970950594
0,3,male,0,,3,5,3,2,,0.970950594,,,,3,2,2,0,,,M+parch,0,484,80,404,,0.646814298,,,,3,0,0,0,,#DIV/0!
0,3,male,5,,4,4,0,4,,0,,,,4,0,0,0,,,,1,58,19,39,,0.91244118,,,,4,0,0,0,,#DIV/0!
0,3,female,0,,5,5,1,4,,0.721928095,,,,5,0,0,0,,,,2,31,10,21,,0.907165768,,,,5,0,0,0,,#DIV/0!
1,2,female,0,,6,1,0,1,,0,,,,6,0,0,0,,,,3,1,0,1,,0,,,,6,0,0,0,,#DIV/0!
0,3,male,1,,avg,,,,,0.936046797,,,,,,,,,,,4,2,0,2,,0,,,,,108,,,,
1,2,male,0,,,,,,,,,,pclass3,0,381,86,295,,,,5,1,0,1,,0,,,pclass3,0,296,36,260,,0.534004273
0,3,female,0,,,,,,,,,,,1,55,20,35,,,,6,0,0,0,,0,,,,1,30,8,22,,0.836640742
1,3,female,0,,,,,,,,,,,2,43,11,32,,,,,577,,,,0.6830188,,,,2,18,3,15,,0.650022422
0,2,male,0,,totals,,,,,H ref,,,,3,0,1,2,,,,,,,,,,,,,3,1,0,1,,#NUM!
1,2,male,0,,,892,342,549,,0.961247339,,,,4,3,0,3,,,F+parch,0,194,153,41,,0.744036697,,,,4,1,0,1,,#NUM!
1,3,female,0,,,,,,,,,,,5,5,1,4,,,,1,60,46,14,,0.783776947,,,,5,1,0,1,,#NUM!
1,1,male,0,,,,,,,,,,,6,1,0,1,,,,2,49,30,19,,0.963335546,,,,6,0,0,0,,#DIV/0!
0,3,female,1,,,,,,,,,,,,,,,,,,3,4,3,1,,0.811278124,,,,,347,,,,
1,3,female,5,,,,,,,decisions,,,M,0,484,,,,,,4,2,0,2,,0,,,,,,,,,
0,3,male,0,,,,,,,0.085353528,,,,1,58,,,,,,5,4,1,3,,0.811278124,,,,,,,,,
0,1,male,2,,,,,,,0.219032557,,,,2,31,,,,,,6,1,0,1,,0,,,,,,,,,
1,3,female,0,,,,,,,0.025200543,,,,3,1,,,,,,,314,,,,0.780456697,,,F+Class+parch,,,,,,
0,3,male,0,,,,,,,,,,,4,2,,,,,,,,,,,,,,pclass1,0,64,63,1,,0.116115075
0,1,male,0,,,,,,,,,,,5,1,,,,,,,,,,,,,,,1,17,17,0,,#NUM!
1,1,female,0,,,,,,,,,,,6,0,,,,,,,,,,,,,,,2,13,11,2,,0.619382195
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,,#DIV/0!
0,2,male,0,,,,,,,,,,F,0,194,,,,,,,,,,,,,,,4,0,0,0,,#DIV/0!
0,1,male,0,,,,,,,,,,,1,60,,,,,,,,,,,,,,,5,0,0,0,,#DIV/0!
0,1,male,0,,,,,,,,,,,2,49,,,,,,,,,,,,,,,6,0,0,0,,#DIV/0!
1,3,male,0,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,94,,,,
0,3,male,0,,,,,,,,,,,4,2,,,,,,,,,,,,,,pclass2,0,45,40,5,,0.503258335
0,3,female,0,,,,,,,,,,,5,4,,,,,,,,,,,,,,,1,18,17,1,,0.309543429
1,3,female,0,,,,,,,,,,,6,1,,,,,,,,,,,,,,,2,11,11,0,,#NUM!
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,0,,#NUM!
0,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,,#DIV/0!
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,,#DIV/0!
1,2,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,,#DIV/0!
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,pclass3,0,85,50,35,,0.977417818
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,12,13,,0.998845536
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,8,17,,0.904381458
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,1
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,2,,#NUM!
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,,0.811278124
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,1,,#NUM!
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
